,Date,Country,Confirmed,Recovered,Deaths
36,2020-01-22,China,548,28,17
87,2020-01-22,Japan,2,0,0
168,2020-01-22,Thailand,2,0,0
91,2020-01-22,"Korea, South",1,0,0
165,2020-01-22,Taiwan*,1,0,0
174,2020-01-22,US,1,0,0
224,2020-01-23,China,643,30,18
356,2020-01-23,Thailand,3,0,0
275,2020-01-23,Japan,2,0,0
370,2020-01-23,Vietnam,2,0,0
279,2020-01-23,"Korea, South",1,0,0
340,2020-01-23,Singapore,1,0,0
353,2020-01-23,Taiwan*,1,0,0
362,2020-01-23,US,1,0,0
412,2020-01-24,China,920,36,26
544,2020-01-24,Thailand,5,0,0
528,2020-01-24,Singapore,3,0,0
541,2020-01-24,Taiwan*,3,0,0
438,2020-01-24,France,2,0,0
463,2020-01-24,Japan,2,0,0
467,2020-01-24,"Korea, South",2,0,0
550,2020-01-24,US,2,0,0
558,2020-01-24,Vietnam,2,0,0
600,2020-01-25,China,1406,39,42
732,2020-01-25,Thailand,7,0,0
626,2020-01-25,France,3,0,0
671,2020-01-25,Malaysia,3,0,0
716,2020-01-25,Singapore,3,0,0
729,2020-01-25,Taiwan*,3,0,0
651,2020-01-25,Japan,2,0,0
655,2020-01-25,"Korea, South",2,0,0
738,2020-01-25,US,2,0,0
746,2020-01-25,Vietnam,2,0,0
685,2020-01-25,Nepal,1,0,0
788,2020-01-26,China,2075,49,56
920,2020-01-26,Thailand,8,2,0
926,2020-01-26,US,5,0,0
839,2020-01-26,Japan,4,1,0
760,2020-01-26,Australia,4,0,0
859,2020-01-26,Malaysia,4,0,0
904,2020-01-26,Singapore,4,0,0
917,2020-01-26,Taiwan*,4,0,0
814,2020-01-26,France,3,0,0
843,2020-01-26,"Korea, South",3,0,0
934,2020-01-26,Vietnam,2,0,0
784,2020-01-26,Canada,1,0,0
873,2020-01-26,Nepal,1,0,0
976,2020-01-27,China,2877,58,82
1108,2020-01-27,Thailand,8,2,0
948,2020-01-27,Australia,5,0,0
1092,2020-01-27,Singapore,5,0,0
1105,2020-01-27,Taiwan*,5,0,0
1114,2020-01-27,US,5,0,0
1027,2020-01-27,Japan,4,1,0
1031,2020-01-27,"Korea, South",4,0,0
1047,2020-01-27,Malaysia,4,0,0
1002,2020-01-27,France,3,0,0
1122,2020-01-27,Vietnam,2,0,0
970,2020-01-27,Cambodia,1,0,0
972,2020-01-27,Canada,1,0,0
1006,2020-01-27,Germany,1,0,0
1061,2020-01-27,Nepal,1,0,0
1099,2020-01-27,Sri Lanka,1,0,0
1164,2020-01-28,China,5509,101,131
1296,2020-01-28,Thailand,14,5,0
1293,2020-01-28,Taiwan*,8,0,0
1215,2020-01-28,Japan,7,1,0
1280,2020-01-28,Singapore,7,0,0
1136,2020-01-28,Australia,5,0,0
1302,2020-01-28,US,5,0,0
1190,2020-01-28,France,4,0,0
1194,2020-01-28,Germany,4,0,0
1219,2020-01-28,"Korea, South",4,0,0
1235,2020-01-28,Malaysia,4,0,0
1160,2020-01-28,Canada,2,0,0
1310,2020-01-28,Vietnam,2,0,0
1158,2020-01-28,Cambodia,1,0,0
1249,2020-01-28,Nepal,1,0,0
1287,2020-01-28,Sri Lanka,1,0,0
1352,2020-01-29,China,6087,120,133
1484,2020-01-29,Thailand,14,5,0
1481,2020-01-29,Taiwan*,8,0,0
1403,2020-01-29,Japan,7,1,0
1423,2020-01-29,Malaysia,7,0,0
1468,2020-01-29,Singapore,7,0,0
1324,2020-01-29,Australia,6,0,0
1378,2020-01-29,France,5,0,0
1490,2020-01-29,US,5,0,0
1382,2020-01-29,Germany,4,0,0
1407,2020-01-29,"Korea, South",4,0,0
1493,2020-01-29,United Arab Emirates,4,0,0
1348,2020-01-29,Canada,2,0,0
1498,2020-01-29,Vietnam,2,0,0
1346,2020-01-29,Cambodia,1,0,0
1377,2020-01-29,Finland,1,0,0
1437,2020-01-29,Nepal,1,0,0
1475,2020-01-29,Sri Lanka,1,0,0
1540,2020-01-30,China,8141,135,171
1672,2020-01-30,Thailand,14,5,0
1591,2020-01-30,Japan,11,1,0
1656,2020-01-30,Singapore,10,0,0
1512,2020-01-30,Australia,9,2,0
1669,2020-01-30,Taiwan*,9,0,0
1611,2020-01-30,Malaysia,8,0,0
1566,2020-01-30,France,5,0,0
1678,2020-01-30,US,5,0,0
1570,2020-01-30,Germany,4,0,0
1595,2020-01-30,"Korea, South",4,0,0
1681,2020-01-30,United Arab Emirates,4,0,0
1536,2020-01-30,Canada,2,0,0
1686,2020-01-30,Vietnam,2,0,0
1534,2020-01-30,Cambodia,1,0,0
1565,2020-01-30,Finland,1,0,0
1583,2020-01-30,India,1,0,0
1625,2020-01-30,Nepal,1,0,0
1639,2020-01-30,Philippines,1,0,0
1663,2020-01-30,Sri Lanka,1,0,0
1728,2020-01-31,China,9802,214,213
1860,2020-01-31,Thailand,19,5,0
1779,2020-01-31,Japan,15,1,0
1844,2020-01-31,Singapore,13,0,0
1783,2020-01-31,"Korea, South",11,0,0
1857,2020-01-31,Taiwan*,10,0,0
1700,2020-01-31,Australia,9,2,0
1799,2020-01-31,Malaysia,8,0,0
1866,2020-01-31,US,7,0,0
1754,2020-01-31,France,5,0,0
1758,2020-01-31,Germany,5,0,0
1724,2020-01-31,Canada,4,0,0
1869,2020-01-31,United Arab Emirates,4,0,0
1777,2020-01-31,Italy,2,0,0
1832,2020-01-31,Russia,2,0,0
1870,2020-01-31,United Kingdom,2,0,0
1874,2020-01-31,Vietnam,2,0,0
1722,2020-01-31,Cambodia,1,0,0
1753,2020-01-31,Finland,1,0,0
1771,2020-01-31,India,1,0,0
1813,2020-01-31,Nepal,1,0,0
1827,2020-01-31,Philippines,1,0,0
1851,2020-01-31,Sri Lanka,1,0,0
1854,2020-01-31,Sweden,1,0,0
1916,2020-02-01,China,11891,275,259
1967,2020-02-01,Japan,20,1,0
2048,2020-02-01,Thailand,19,5,0
2032,2020-02-01,Singapore,16,0,0
1888,2020-02-01,Australia,12,2,0
1971,2020-02-01,"Korea, South",12,0,0
2045,2020-02-01,Taiwan*,10,0,0
1946,2020-02-01,Germany,8,0,0
1987,2020-02-01,Malaysia,8,0,0
2054,2020-02-01,US,8,0,0
2062,2020-02-01,Vietnam,6,1,0
1942,2020-02-01,France,6,0,0
1912,2020-02-01,Canada,4,0,0
2057,2020-02-01,United Arab Emirates,4,0,0
1965,2020-02-01,Italy,2,0,0
2020,2020-02-01,Russia,2,0,0
2058,2020-02-01,United Kingdom,2,0,0
1910,2020-02-01,Cambodia,1,0,0
1941,2020-02-01,Finland,1,0,0
1959,2020-02-01,India,1,0,0
2001,2020-02-01,Nepal,1,0,0
2015,2020-02-01,Philippines,1,0,0
2038,2020-02-01,Spain,1,0,0
2039,2020-02-01,Sri Lanka,1,0,0
2042,2020-02-01,Sweden,1,0,0
2104,2020-02-02,China,16630,463,361
2155,2020-02-02,Japan,20,1,0
2236,2020-02-02,Thailand,19,5,0
2220,2020-02-02,Singapore,18,0,0
2159,2020-02-02,"Korea, South",15,0,0
2076,2020-02-02,Australia,12,2,0
2134,2020-02-02,Germany,10,0,0
2233,2020-02-02,Taiwan*,10,0,0
2175,2020-02-02,Malaysia,8,0,0
2242,2020-02-02,US,8,0,0
2250,2020-02-02,Vietnam,6,1,0
2130,2020-02-02,France,6,0,0
2245,2020-02-02,United Arab Emirates,5,0,0
2100,2020-02-02,Canada,4,0,0
2203,2020-02-02,Philippines,2,0,1
2147,2020-02-02,India,2,0,0
2153,2020-02-02,Italy,2,0,0
2208,2020-02-02,Russia,2,0,0
2246,2020-02-02,United Kingdom,2,0,0
2098,2020-02-02,Cambodia,1,0,0
2129,2020-02-02,Finland,1,0,0
