,Date,Country,Confirmed,Recovered,Deaths
412,2020-01-24,China,277.0,6.0,8.0
438,2020-01-24,France,2.0,0.0,0.0
528,2020-01-24,Singapore,2.0,0.0,0.0
541,2020-01-24,Taiwan*,2.0,0.0,0.0
544,2020-01-24,Thailand,2.0,0.0,0.0
467,2020-01-24,"Korea, South",1.0,0.0,0.0
550,2020-01-24,US,1.0,0.0,0.0
376,2020-01-24,Afghanistan,0.0,0.0,0.0
377,2020-01-24,Albania,0.0,0.0,0.0
378,2020-01-24,Algeria,0.0,0.0,0.0
379,2020-01-24,Andorra,0.0,0.0,0.0
380,2020-01-24,Angola,0.0,0.0,0.0
381,2020-01-24,Antigua and Barbuda,0.0,0.0,0.0
382,2020-01-24,Argentina,0.0,0.0,0.0
383,2020-01-24,Armenia,0.0,0.0,0.0
384,2020-01-24,Australia,0.0,0.0,0.0
385,2020-01-24,Austria,0.0,0.0,0.0
386,2020-01-24,Azerbaijan,0.0,0.0,0.0
387,2020-01-24,Bahamas,0.0,0.0,0.0
388,2020-01-24,Bahrain,0.0,0.0,0.0
600,2020-01-25,China,486.0,3.0,16.0
671,2020-01-25,Malaysia,3.0,0.0,0.0
732,2020-01-25,Thailand,2.0,0.0,0.0
626,2020-01-25,France,1.0,0.0,0.0
685,2020-01-25,Nepal,1.0,0.0,0.0
564,2020-01-25,Afghanistan,0.0,0.0,0.0
565,2020-01-25,Albania,0.0,0.0,0.0
566,2020-01-25,Algeria,0.0,0.0,0.0
567,2020-01-25,Andorra,0.0,0.0,0.0
568,2020-01-25,Angola,0.0,0.0,0.0
569,2020-01-25,Antigua and Barbuda,0.0,0.0,0.0
570,2020-01-25,Argentina,0.0,0.0,0.0
571,2020-01-25,Armenia,0.0,0.0,0.0
572,2020-01-25,Australia,0.0,0.0,0.0
573,2020-01-25,Austria,0.0,0.0,0.0
574,2020-01-25,Azerbaijan,0.0,0.0,0.0
575,2020-01-25,Bahamas,0.0,0.0,0.0
576,2020-01-25,Bahrain,0.0,0.0,0.0
577,2020-01-25,Bangladesh,0.0,0.0,0.0
578,2020-01-25,Barbados,0.0,0.0,0.0
788,2020-01-26,China,669.0,10.0,14.0
760,2020-01-26,Australia,4.0,0.0,0.0
926,2020-01-26,US,3.0,0.0,0.0
839,2020-01-26,Japan,2.0,1.0,0.0
920,2020-01-26,Thailand,1.0,2.0,0.0
784,2020-01-26,Canada,1.0,0.0,0.0
843,2020-01-26,"Korea, South",1.0,0.0,0.0
859,2020-01-26,Malaysia,1.0,0.0,0.0
904,2020-01-26,Singapore,1.0,0.0,0.0
917,2020-01-26,Taiwan*,1.0,0.0,0.0
752,2020-01-26,Afghanistan,0.0,0.0,0.0
753,2020-01-26,Albania,0.0,0.0,0.0
754,2020-01-26,Algeria,0.0,0.0,0.0
755,2020-01-26,Andorra,0.0,0.0,0.0
756,2020-01-26,Angola,0.0,0.0,0.0
757,2020-01-26,Antigua and Barbuda,0.0,0.0,0.0
758,2020-01-26,Argentina,0.0,0.0,0.0
759,2020-01-26,Armenia,0.0,0.0,0.0
761,2020-01-26,Austria,0.0,0.0,0.0
762,2020-01-26,Azerbaijan,0.0,0.0,0.0
976,2020-01-27,China,802.0,9.0,26.0
948,2020-01-27,Australia,1.0,0.0,0.0
970,2020-01-27,Cambodia,1.0,0.0,0.0
1006,2020-01-27,Germany,1.0,0.0,0.0
1031,2020-01-27,"Korea, South",1.0,0.0,0.0
1092,2020-01-27,Singapore,1.0,0.0,0.0
1099,2020-01-27,Sri Lanka,1.0,0.0,0.0
1105,2020-01-27,Taiwan*,1.0,0.0,0.0
940,2020-01-27,Afghanistan,0.0,0.0,0.0
941,2020-01-27,Albania,0.0,0.0,0.0
942,2020-01-27,Algeria,0.0,0.0,0.0
943,2020-01-27,Andorra,0.0,0.0,0.0
944,2020-01-27,Angola,0.0,0.0,0.0
945,2020-01-27,Antigua and Barbuda,0.0,0.0,0.0
946,2020-01-27,Argentina,0.0,0.0,0.0
947,2020-01-27,Armenia,0.0,0.0,0.0
949,2020-01-27,Austria,0.0,0.0,0.0
950,2020-01-27,Azerbaijan,0.0,0.0,0.0
951,2020-01-27,Bahamas,0.0,0.0,0.0
952,2020-01-27,Bahrain,0.0,0.0,0.0
1164,2020-01-28,China,2632.0,43.0,49.0
1296,2020-01-28,Thailand,6.0,3.0,0.0
1194,2020-01-28,Germany,3.0,0.0,0.0
1215,2020-01-28,Japan,3.0,0.0,0.0
1293,2020-01-28,Taiwan*,3.0,0.0,0.0
1280,2020-01-28,Singapore,2.0,0.0,0.0
1160,2020-01-28,Canada,1.0,0.0,0.0
1190,2020-01-28,France,1.0,0.0,0.0
1128,2020-01-28,Afghanistan,0.0,0.0,0.0
1129,2020-01-28,Albania,0.0,0.0,0.0
1130,2020-01-28,Algeria,0.0,0.0,0.0
1131,2020-01-28,Andorra,0.0,0.0,0.0
1132,2020-01-28,Angola,0.0,0.0,0.0
1133,2020-01-28,Antigua and Barbuda,0.0,0.0,0.0
1134,2020-01-28,Argentina,0.0,0.0,0.0
1135,2020-01-28,Armenia,0.0,0.0,0.0
1136,2020-01-28,Australia,0.0,0.0,0.0
1137,2020-01-28,Austria,0.0,0.0,0.0
1138,2020-01-28,Azerbaijan,0.0,0.0,0.0
1139,2020-01-28,Bahamas,0.0,0.0,0.0
1352,2020-01-29,China,578.0,19.0,2.0
1493,2020-01-29,United Arab Emirates,4.0,0.0,0.0
1423,2020-01-29,Malaysia,3.0,0.0,0.0
1324,2020-01-29,Australia,1.0,0.0,0.0
1377,2020-01-29,Finland,1.0,0.0,0.0
1378,2020-01-29,France,1.0,0.0,0.0
1316,2020-01-29,Afghanistan,0.0,0.0,0.0
1317,2020-01-29,Albania,0.0,0.0,0.0
1318,2020-01-29,Algeria,0.0,0.0,0.0
1319,2020-01-29,Andorra,0.0,0.0,0.0
1320,2020-01-29,Angola,0.0,0.0,0.0
1321,2020-01-29,Antigua and Barbuda,0.0,0.0,0.0
1322,2020-01-29,Argentina,0.0,0.0,0.0
1323,2020-01-29,Armenia,0.0,0.0,0.0
1325,2020-01-29,Austria,0.0,0.0,0.0
1326,2020-01-29,Azerbaijan,0.0,0.0,0.0
1327,2020-01-29,Bahamas,0.0,0.0,0.0
1328,2020-01-29,Bahrain,0.0,0.0,0.0
1329,2020-01-29,Bangladesh,0.0,0.0,0.0
1330,2020-01-29,Barbados,0.0,0.0,0.0
1540,2020-01-30,China,2054.0,15.0,38.0
1591,2020-01-30,Japan,4.0,0.0,0.0
1512,2020-01-30,Australia,3.0,2.0,0.0
1656,2020-01-30,Singapore,3.0,0.0,0.0
1583,2020-01-30,India,1.0,0.0,0.0
1611,2020-01-30,Malaysia,1.0,0.0,0.0
1639,2020-01-30,Philippines,1.0,0.0,0.0
1669,2020-01-30,Taiwan*,1.0,0.0,0.0
1504,2020-01-30,Afghanistan,0.0,0.0,0.0
1505,2020-01-30,Albania,0.0,0.0,0.0
1506,2020-01-30,Algeria,0.0,0.0,0.0
1507,2020-01-30,Andorra,0.0,0.0,0.0
1508,2020-01-30,Angola,0.0,0.0,0.0
1509,2020-01-30,Antigua and Barbuda,0.0,0.0,0.0
1510,2020-01-30,Argentina,0.0,0.0,0.0
1511,2020-01-30,Armenia,0.0,0.0,0.0
1513,2020-01-30,Austria,0.0,0.0,0.0
1514,2020-01-30,Azerbaijan,0.0,0.0,0.0
1515,2020-01-30,Bahamas,0.0,0.0,0.0
1516,2020-01-30,Bahrain,0.0,0.0,0.0
1728,2020-01-31,China,1661.0,79.0,42.0
1783,2020-01-31,"Korea, South",7.0,0.0,0.0
1860,2020-01-31,Thailand,5.0,0.0,0.0
1779,2020-01-31,Japan,4.0,0.0,0.0
1844,2020-01-31,Singapore,3.0,0.0,0.0
1724,2020-01-31,Canada,2.0,0.0,0.0
1777,2020-01-31,Italy,2.0,0.0,0.0
1832,2020-01-31,Russia,2.0,0.0,0.0
1866,2020-01-31,US,2.0,0.0,0.0
