Country/Region,Date,Lat,Long,Confirmed,Deaths,Recovered
Afghanistan,1/22/20,33.0,65.0,0,0,0
Albania,1/22/20,41.1533,20.1683,0,0,0
Algeria,1/22/20,28.0339,1.6596,0,0,0
Andorra,1/22/20,42.5063,1.5218,0,0,0
Angola,1/22/20,-11.2027,17.8739,0,0,0
Antigua and Barbuda,1/22/20,17.0608,-61.7964,0,0,0
Argentina,1/22/20,-38.4161,-63.6167,0,0,0
Armenia,1/22/20,40.0691,45.0382,0,0,0
Australia,1/22/20,-255.9695,1129.8623,0,0,0
Austria,1/22/20,47.5162,14.5501,0,0,0
Azerbaijan,1/22/20,40.1431,47.5769,0,0,0
Bahamas,1/22/20,25.0343,-77.3963,0,0,0
Bahrain,1/22/20,26.0275,50.55,0,0,0
Bangladesh,1/22/20,23.685,90.3563,0,0,0
Barbados,1/22/20,13.1939,-59.5432,0,0,0
Belarus,1/22/20,53.7098,27.9534,0,0,0
Belgium,1/22/20,50.8333,4.0,0,0,0
Benin,1/22/20,9.3077,2.3158,0,0,0
Bhutan,1/22/20,27.5142,90.4336,0,0,0
Bolivia,1/22/20,-16.2902,-63.5887,0,0,0
Bosnia and Herzegovina,1/22/20,43.9159,17.6791,0,0,0
Brazil,1/22/20,-14.235,-51.9253,0,0,0
Brunei,1/22/20,4.5353,114.7277,0,0,0
Bulgaria,1/22/20,42.7339,25.4858,0,0,0
Burkina Faso,1/22/20,12.2383,-1.5616,0,0,0
Cabo Verde,1/22/20,16.5388,-23.0418,0,0,0
Cambodia,1/22/20,11.55,104.9167,0,0,0
Cameroon,1/22/20,3.8480000000000003,11.5021,0,0,0
Canada,1/22/20,671.7607,-1237.6289,0,0,0
Central African Republic,1/22/20,6.6111,20.9394,0,0,0
Chad,1/22/20,15.4542,18.7322,0,0,0
Chile,1/22/20,-35.6751,-71.543,0,0,0
China,1/22/20,1083.3367,3684.4197000000004,548,17,28
Colombia,1/22/20,4.5709,-74.2973,0,0,0
Congo (Brazzaville),1/22/20,-4.0383,21.7587,0,0,0
Congo (Kinshasa),1/22/20,-4.0383,21.7587,0,0,0
Costa Rica,1/22/20,9.7489,-83.7534,0,0,0
Cote d'Ivoire,1/22/20,7.54,-5.5471,0,0,0
Croatia,1/22/20,45.1,15.2,0,0,0
Diamond Princess,1/22/20,0.0,0.0,0,0,0
Cuba,1/22/20,22.0,-80.0,0,0,0
Cyprus,1/22/20,35.1264,33.4299,0,0,0
Czechia,1/22/20,49.8175,15.472999999999999,0,0,0
Denmark,1/22/20,189.8634,-40.014300000000006,0,0,0
Djibouti,1/22/20,11.8251,42.5903,0,0,0
Dominican Republic,1/22/20,18.7357,-70.1627,0,0,0
Ecuador,1/22/20,-1.8312,-78.1834,0,0,0
Egypt,1/22/20,26.0,30.0,0,0,0
El Salvador,1/22/20,13.7942,-88.8965,0,0,0
Equatorial Guinea,1/22/20,1.5,10.0,0,0,0
Eritrea,1/22/20,15.1794,39.7823,0,0,0
Estonia,1/22/20,58.5953,25.0136,0,0,0
Eswatini,1/22/20,-26.5225,31.4659,0,0,0
Ethiopia,1/22/20,9.145,40.4897,0,0,0
Fiji,1/22/20,-17.7134,178.065,0,0,0
Finland,1/22/20,64.0,26.0,0,0,0
France,1/22/20,91.3624,59.71919999999999,0,0,0
Gabon,1/22/20,-0.8037,11.6094,0,0,0
Gambia,1/22/20,13.4432,-15.3101,0,0,0
Georgia,1/22/20,42.3154,43.3569,0,0,0
Germany,1/22/20,51.0,9.0,0,0,0
Ghana,1/22/20,7.9465,-1.0232,0,0,0
Greece,1/22/20,39.0742,21.8243,0,0,0
Guatemala,1/22/20,15.7835,-90.2308,0,0,0
Guinea,1/22/20,9.9456,-9.6966,0,0,0
Guyana,1/22/20,5.0,-58.75,0,0,0
Haiti,1/22/20,18.9712,-72.2852,0,0,0
Holy See,1/22/20,41.9029,12.4534,0,0,0
Honduras,1/22/20,15.2,-86.2419,0,0,0
Hungary,1/22/20,47.1625,19.5033,0,0,0
Iceland,1/22/20,64.9631,-19.0208,0,0,0
India,1/22/20,21.0,78.0,0,0,0
Indonesia,1/22/20,-0.7893,113.9213,0,0,0
Iran,1/22/20,32.0,53.0,0,0,0
Iraq,1/22/20,33.0,44.0,0,0,0
Ireland,1/22/20,53.1424,-7.6921,0,0,0
Israel,1/22/20,31.0,35.0,0,0,0
Italy,1/22/20,43.0,12.0,0,0,0
Jamaica,1/22/20,18.1096,-77.2975,0,0,0
Japan,1/22/20,36.0,138.0,2,0,0
Jordan,1/22/20,31.24,36.51,0,0,0
Kazakhstan,1/22/20,48.0196,66.9237,0,0,0
Kenya,1/22/20,-0.0236,37.9062,0,0,0
South Korea,1/22/20,36.0,128.0,1,0,0
Kuwait,1/22/20,29.5,47.75,0,0,0
Kyrgyzstan,1/22/20,41.2044,74.7661,0,0,0
Latvia,1/22/20,56.8796,24.6032,0,0,0
Lebanon,1/22/20,33.8547,35.8623,0,0,0
Liberia,1/22/20,6.4281,-9.4295,0,0,0
Liechtenstein,1/22/20,47.14,9.55,0,0,0
Lithuania,1/22/20,55.1694,23.8813,0,0,0
Luxembourg,1/22/20,49.8153,6.1296,0,0,0
Madagascar,1/22/20,-18.7669,46.8691,0,0,0
Malaysia,1/22/20,2.5,112.5,0,0,0
Maldives,1/22/20,3.2028,73.2207,0,0,0
Malta,1/22/20,35.9375,14.3754,0,0,0
Mauritania,1/22/20,21.0079,10.9408,0,0,0
Mauritius,1/22/20,-20.2,57.5,0,0,0
Mexico,1/22/20,23.6345,-102.5528,0,0,0
Moldova,1/22/20,47.4116,28.3699,0,0,0
Monaco,1/22/20,43.7333,7.4167,0,0,0
Mongolia,1/22/20,46.8625,103.8467,0,0,0
Montenegro,1/22/20,42.5,19.3,0,0,0
Morocco,1/22/20,31.7917,-7.0926,0,0,0
Namibia,1/22/20,-22.9576,18.4904,0,0,0
Nepal,1/22/20,28.1667,84.25,0,0,0
Netherlands,1/22/20,94.8633,-196.7893,0,0,0
New Zealand,1/22/20,-40.9006,174.886,0,0,0
Nicaragua,1/22/20,12.8654,-85.2072,0,0,0
Niger,1/22/20,17.6078,8.0817,0,0,0
Nigeria,1/22/20,9.082,8.6753,0,0,0
North Macedonia,1/22/20,41.6086,21.7453,0,0,0
Norway,1/22/20,60.472,8.4689,0,0,0
Oman,1/22/20,21.0,57.0,0,0,0
Pakistan,1/22/20,30.3753,69.3451,0,0,0
Panama,1/22/20,8.538,-80.7821,0,0,0
Papua New Guinea,1/22/20,-6.315,143.9555,0,0,0
Paraguay,1/22/20,-23.4425,-58.4438,0,0,0
Peru,1/22/20,-9.19,-75.0152,0,0,0
Philippines,1/22/20,13.0,122.0,0,0,0
Poland,1/22/20,51.9194,19.1451,0,0,0
Portugal,1/22/20,39.3999,-8.2245,0,0,0
Qatar,1/22/20,25.3548,51.1839,0,0,0
Romania,1/22/20,45.9432,24.9668,0,0,0
Russia,1/22/20,60.0,90.0,0,0,0
Rwanda,1/22/20,-1.9403,29.8739,0,0,0
Saint Lucia,1/22/20,13.9094,-60.9789,0,0,0
Saint Vincent and the Grenadines,1/22/20,12.9843,-61.2872,0,0,0
San Marino,1/22/20,43.9424,12.4578,0,0,0
Saudi Arabia,1/22/20,24.0,45.0,0,0,0
Senegal,1/22/20,14.4974,-14.4524,0,0,0
Serbia,1/22/20,44.0165,21.0059,0,0,0
Seychelles,1/22/20,-4.6796,55.492,0,0,0
Singapore,1/22/20,1.2833,103.8333,0,0,0
Slovakia,1/22/20,48.669,19.699,0,0,0
Slovenia,1/22/20,46.1512,14.9955,0,0,0
Somalia,1/22/20,5.1521,46.1996,0,0,0
South Africa,1/22/20,-30.5595,22.9375,0,0,0
Spain,1/22/20,40.0,-4.0,0,0,0
Sri Lanka,1/22/20,7.0,81.0,0,0,0
Sudan,1/22/20,12.8628,30.2176,0,0,0
Suriname,1/22/20,3.9193,-56.0278,0,0,0
Sweden,1/22/20,63.0,16.0,0,0,0
Switzerland,1/22/20,46.8182,8.2275,0,0,0
Taiwan*,1/22/20,23.7,121.0,1,0,0
Tanzania,1/22/20,-6.369,34.8888,0,0,0
Thailand,1/22/20,15.0,101.0,2,0,0
Togo,1/22/20,8.6195,0.8248,0,0,0
Trinidad and Tobago,1/22/20,10.6918,-61.2225,0,0,0
Tunisia,1/22/20,34.0,9.0,0,0,0
Turkey,1/22/20,38.9637,35.2433,0,0,0
Uganda,1/22/20,1.0,32.0,0,0,0
Ukraine,1/22/20,48.3794,31.1656,0,0,0
United Arab Emirates,1/22/20,24.0,54.0,0,0,0
United Kingdom,1/22/20,270.0299,-482.92470000000003,0,0,0
Uruguay,1/22/20,-32.5228,-55.7658,0,0,0
US,1/22/20,37.0902,-95.7129,1,0,0
Uzbekistan,1/22/20,41.3775,64.5853,0,0,0
Venezuela,1/22/20,6.4238,-66.5897,0,0,0
Vietnam,1/22/20,16.0,108.0,0,0,0
Zambia,1/22/20,-15.4167,28.2833,0,0,0
Zimbabwe,1/22/20,-20.0,30.0,0,0,0
Dominica,1/22/20,15.415,-61.371,0,0,0
Grenada,1/22/20,12.1165,-61.678999999999995,0,0,0
Mozambique,1/22/20,-18.665695,35.529562,0,0,0
Syria,1/22/20,34.802075,38.996815000000005,0,0,0
Timor-Leste,1/22/20,-8.874217,125.727539,0,0,0
Belize,1/22/20,13.1939,-59.5432,0,0,0
Laos,1/22/20,19.856270000000002,102.495496,0,0,0
Libya,1/22/20,26.3351,17.228331,0,0,0
West Bank and Gaza,1/22/20,31.9522,35.2332,0,0,0
Guinea-Bissau,1/22/20,11.8037,-15.1804,0,0,0
Mali,1/22/20,17.570692,-3.9961660000000006,0,0,0
Saint Kitts and Nevis,1/22/20,17.357822,-62.782998,0,0,0
Kosovo,1/22/20,42.602636,20.902977,0,0,0
Burma,1/22/20,21.9162,95.956,0,0,0
MS Zaandam,1/22/20,0.0,0.0,0,0,0
Botswana,1/22/20,-22.3285,24.6849,0,0,0
Burundi,1/22/20,-3.3731,29.9189,0,0,0
Sierra Leone,1/22/20,8.460555000000001,-11.779889,0,0,0
Malawi,1/22/20,-13.254307999999998,34.301525,0,0,0
South Sudan,1/22/20,6.877000000000001,31.307,0,0,0
Western Sahara,1/22/20,24.2155,-12.8858,0,0,0
Sao Tome and Principe,1/22/20,0.18636,6.613081,0,0,0
Yemen,1/22/20,15.552726999999999,48.516388,0,0,0
Comoros,1/22/20,-11.6455,43.3333,0,0,0
Tajikistan,1/22/20,38.861034000000004,71.276093,0,0,0
Afghanistan,1/23/20,33.0,65.0,0,0,0
Albania,1/23/20,41.1533,20.1683,0,0,0
Algeria,1/23/20,28.0339,1.6596,0,0,0
Andorra,1/23/20,42.5063,1.5218,0,0,0
Angola,1/23/20,-11.2027,17.8739,0,0,0
Antigua and Barbuda,1/23/20,17.0608,-61.7964,0,0,0
Argentina,1/23/20,-38.4161,-63.6167,0,0,0
Armenia,1/23/20,40.0691,45.0382,0,0,0
Australia,1/23/20,-255.9695,1129.8623,0,0,0
Austria,1/23/20,47.5162,14.5501,0,0,0
Azerbaijan,1/23/20,40.1431,47.5769,0,0,0
Bahamas,1/23/20,25.0343,-77.3963,0,0,0
Bahrain,1/23/20,26.0275,50.55,0,0,0
Bangladesh,1/23/20,23.685,90.3563,0,0,0
Barbados,1/23/20,13.1939,-59.5432,0,0,0
Belarus,1/23/20,53.7098,27.9534,0,0,0
Belgium,1/23/20,50.8333,4.0,0,0,0
Benin,1/23/20,9.3077,2.3158,0,0,0
Bhutan,1/23/20,27.5142,90.4336,0,0,0
Bolivia,1/23/20,-16.2902,-63.5887,0,0,0
Bosnia and Herzegovina,1/23/20,43.9159,17.6791,0,0,0
Brazil,1/23/20,-14.235,-51.9253,0,0,0
Brunei,1/23/20,4.5353,114.7277,0,0,0
Bulgaria,1/23/20,42.7339,25.4858,0,0,0
Burkina Faso,1/23/20,12.2383,-1.5616,0,0,0
Cabo Verde,1/23/20,16.5388,-23.0418,0,0,0
Cambodia,1/23/20,11.55,104.9167,0,0,0
Cameroon,1/23/20,3.8480000000000003,11.5021,0,0,0
Canada,1/23/20,671.7607,-1237.6289,0,0,0
Central African Republic,1/23/20,6.6111,20.9394,0,0,0
Chad,1/23/20,15.4542,18.7322,0,0,0
Chile,1/23/20,-35.6751,-71.543,0,0,0
China,1/23/20,1083.3367,3684.4197000000004,643,18,30
Colombia,1/23/20,4.5709,-74.2973,0,0,0
Congo (Brazzaville),1/23/20,-4.0383,21.7587,0,0,0
Congo (Kinshasa),1/23/20,-4.0383,21.7587,0,0,0
Costa Rica,1/23/20,9.7489,-83.7534,0,0,0
Cote d'Ivoire,1/23/20,7.54,-5.5471,0,0,0
Croatia,1/23/20,45.1,15.2,0,0,0
Diamond Princess,1/23/20,0.0,0.0,0,0,0
Cuba,1/23/20,22.0,-80.0,0,0,0
Cyprus,1/23/20,35.1264,33.4299,0,0,0
Czechia,1/23/20,49.8175,15.472999999999999,0,0,0
Denmark,1/23/20,189.8634,-40.014300000000006,0,0,0
